"segment_code","epoch","year","annual_segment_total","denominator","annual_segment_%","series_delta","series_shift","series_delta_%"
"GF07",978307200000.0,2001,75482.74467022686,472901.52249447966,15.96162014282963,5289.769109748697,70192.97556047817,7.5360377124788505
"GF07",1009843200000.0,2002,81474.4993632109,501423.0315539717,16.248655174596067,5991.754692984032,75482.74467022686,7.9379131206226505
"GF07",1041379200000.0,2003,88022.52816673706,537273.6255873066,16.383184279801103,6548.028803526162,81474.4993632109,8.03690584747903
"GF07",1072915200000.0,2004,95970.3855936993,564143.7827360097,17.011688957779143,7947.857426962248,88022.52816673706,9.029344637667057
"GF07",1104537600000.0,2005,100759.92506890922,595271.209238224,16.926725752090874,4789.539475209909,95970.3855936993,4.990643150572435
"GF07",1136073600000.0,2006,105803.38346362303,603188.4740736743,17.540683884271314,5043.458394713816,100759.92506890922,5.005420946139668
"GF07",1167609600000.0,2007,108996.84446603557,621464.4474668961,17.538709560990867,3193.461002412543,105803.38346362303,3.0182976175903753
"GF07",1199145600000.0,2008,113289.04636293434,669750.1009420848,16.915121954230322,4292.201896898769,108996.84446603557,3.937913907440007
"GF07",1230768000000.0,2009,122135.95336060907,679475.8256400658,17.97502556408936,8846.906997674727,113289.04636293434,7.80914596926931
"GF07",1262304000000.0,2010,122455.0,702234.0,17.4379195538809,319.04663939093007,122135.95336060907,0.2612225398109743
"GF07",1293840000000.0,2011,121422.08601701766,686730.057499068,17.68119579026617,-1032.9139829823398,122455.0,-0.8435049471090114
"GF07",1325376000000.0,2012,121435.9930832121,706334.1337588404,17.192428806601225,13.90706619444245,121422.08601701766,0.011453489765027866
"GF07",1356998400000.0,2013,123412.59583372713,680792.7982464001,18.127776344229225,1976.6027505150269,121435.9930832121,1.6276910167487089
"GF07",1388534400000.0,2014,129345.03559028935,695392.8783817684,18.600281885440786,5932.43975656222,123412.59583372713,4.806996981535785
"GF07",1420070400000.0,2015,133922.70143474577,695609.1502945537,19.25257903494176,4577.665844456424,129345.03559028935,3.539112130253335
"GF07",1451606400000.0,2016,135724.0924336499,689679.7248580637,19.679292799506605,1801.3909989041276,133922.70143474577,1.3450975671827086
"GF07",1483228800000.0,2017,137104.08710251574,698917.1762007198,19.616642968743015,1379.9946688658383,135724.0924336499,1.0167647056033642
"GF07",1514764800000.0,2018,141471.54283355153,707433.189996761,19.997866206164183,4367.455731035792,137104.08710251574,3.1855036734026387
